Price,House_Type,Area_in_sq_ft,No._of_Bedrooms,Location,City/County
2300000,House,2785,5,Fulham,London
1200000,House,1270,3,,London
1500000,House,1934,5,,London
2250000,House,2605,5,,London
1500000,House,2047,4,,London
2150000,House,2850,5,,London
1595000,House,2555,6,,London
1565000,House,2088,5,,London
1500000,House,2173,5,,London
400000,Flat / Apartment,774,2,20 Love Lane,London
415000,Flat / Apartment,525,1, Canary Wharf,London
1395000,Penthouse,1230,2,2 Dallington Street,London
2800000,House,2734,6, Chiswick,London
1195000,Flat / Apartment,872,2,Chelsea,London
2750000,Flat / Apartment,1839,4,Drayton Gardens,London
6950000,House,5501,6,Hammersmith,London
2750000,House,2675,4,Battersea,London
525000,Flat / Apartment,514,2,Wimbledon,London
5450000,Flat / Apartment,1920,3,,London
2325000,New development,2392,4,,Thurleigh Road
3750000,House,3256,3,Marylebone,London
1750000,Flat / Apartment,714,2,,London
750000,Flat / Apartment,604,1, Chelsea,London
3150000,Flat / Apartment,1755,4,,London
1150000,House,2357,4, Esher,Surrey
575000,Flat / Apartment,800,2,,London
1250000,House,2475,6,,London
1150000,House,1703,4,,London
650000,Flat / Apartment,584,1, Clerkenwell,London
1295000,House,1356,4,Chiswick,London
765000,Flat / Apartment,1362,3, Fulham,London
1100000,House,1420,3,Barnes,London
2350000,House,2153,4,Barnes,London
965000,House,1222,4,Tooting Bec,London
1750000,Flat / Apartment,732,1, Holland Park,London
800000,New development,1119,2, Clapton,E5 8DE
1050000,House,2375,5, Walton-on-Thames,Surrey
475000,Flat / Apartment,525,1,105 Maida Vale,London
752500,New development,874,2,131-143 Belsize Road,London
1399950,House,1748,4,,De Beauvoir
2795000,House,6061,7,Esher,Surrey
1750000,New development,3913,4, Esher,Surrey
2995000,House,3406,5,Between The Commons,London
1825000,House,2500,5,,London
550000,Flat / Apartment,609,2,137-139 Queenstown Road,London
1850000,House,2516,5,,London
625000,Flat / Apartment,428,1, Westminster,London
2290000,Flat / Apartment,1604,2,St. James's,London
3450000,House,1820,5,Chelsea,London
995000,Flat / Apartment,710,2,Primrose Hill,London
450000,New development,538,1, Holloway,London
850000,Flat / Apartment,935,2,Chiswick,London
975000,Flat / Apartment,950,2, Maida Vale,London
1850000,Flat / Apartment,924,3,,London
940000,House,1074,3,Hackney,London
1595000,House,3261,5,Surbiton,Surrey
1275000,House,1779,4,,London
1325000,House,1541,4,,London
850000,House,1687,4,Oxhey,Hertfordshire
865000,Flat / Apartment,880,2,,London
650000,Flat / Apartment,859,2,,London
3500000,New development,1577,2,,London
1695000,House,1944,5,Highbury,London
399995,Flat / Apartment,472,1, Canary Wharf,London
5750000,House,4682,6,Barnes,London
4650000,House,2865,4,Belgravia,London
1650000,House,4016,8, Radlett,Hertfordshire
2800000,House,1448,3,,London
1100000,Flat / Apartment,1056,3,,London
2650000,Flat / Apartment,1811,3, Parr's Way,London
1575000,House,2550,5,,London
525000,Flat / Apartment,775,1,142 Battersea Park Road,London
1650000,Flat / Apartment,1099,2,Westminster,London
850000,Flat / Apartment,726,2,Albany Street,London
2700000,House,1791,3,Notting Hill,London
695000,House,795,2,Wimbledon,London
1400000,House,1799,4,London,Wandsworth
2050000,House,1293,3,St John's Wood,London
615000,Flat / Apartment,972,2,Whitechapel,London
1000000,Flat / Apartment,1777,3, Putney,London
315000,Flat / Apartment,526,1,,London
1850000,New development,1328,3,2 Gatliff Road,London
2895000,House,1289,3,,London
450000,Flat / Apartment,459,1,Bingham Court,London
500000,House,963,2,Surbiton,Surrey
675000,Flat / Apartment,949,2,,London
650000,Flat / Apartment,583,1,Peartree Street,Clerkenwell
1395000,House,1068,1,Chiswick,London
2395000,House,4966,5, Oxshott,Surrey
725000,Flat / Apartment,858,3,42 Trinity Church Road,London
2000000,House,2525,4,Barnes,London
625000,Flat / Apartment,664,2,,London
1350000,House,1328,3,Brackenbury Village,London
2100000,House,2191,4,Battersea,London
3650000,House,8034,6,Esher,Surrey
1850000,House,1892,4,,London
1500000,Flat / Apartment,1132,3,Albert Bridge Road,London
3625000,House,2190,4,Primrose Hill,London
1500000,Flat / Apartment,1274,2,Mill Street,London
525000,Flat / Apartment,630,2,Barnes,London
290000,Flat / Apartment,455,1,Banbury Road,London
1725000,House,2931,5,Putney,London
1395000,House,1510,3,Islington,London
400000,Flat / Apartment,705,2,George Beard Road,Deptford
3350000,House,1504,3,,London
1795000,House,2067,4, Putney,London
600000,Flat / Apartment,1160,2, Northwood,Middlesex
1500000,House,1997,4,Ealing,London
1600000,House,2149,4,Wandsworth,London
1550000,House,3620,7,,London
1325000,Flat / Apartment,1195,3, Westminster,London
1395000,House,1587,3,Camden,London
735000,Flat / Apartment,849,2,,London
825000,House,2094,4,Thames Ditton,Surrey
1500000,Flat / Apartment,2550,3,,London
679000,Flat / Apartment,832,2, Canary Wharf,London
1500000,Flat / Apartment,1244,3,Park Walk,London
1000000,New development,1501,3,Northwood,Middlesex
4995000,House,3035,4,Little Venice,London
1350000,House,1604,4,Putney,London
625000,New development,723,2,,London
600000,Flat / Apartment,660,2,Hackney,London
