Price,House_Type,Area_in_sq_ft,No._of_Bedrooms,Location,City/County
4950000,Flat / Apartment,2817,6, Marylebone,London
2250000,Flat / Apartment,987,2,,London
2650000,Flat / Apartment,1027,2,Mayfair,London
1000000,House,2000,4,Buckhurst Hill,Essex
1250000,House,2244,4,Loughton,Essex
990000,New development,820,2,82-88 Fulham High Street,London
1650000,New development,1259,3, Smithfield Market,London
765000,New development,618,1,10 Gatliff Road,London
1100000,Flat / Apartment,1095,2, Shoreditch,London
474950,Flat / Apartment,540,1,Hackney,London
2450000,Penthouse,1879,3,Hampstead,London
650000,Flat / Apartment,668,1, Hampstead,London
499950,Flat / Apartment,603,1,,London
449950,Flat / Apartment,539,1,,London
1349950,House,2986,5,Esher,Surrey
1350000,House,1890,4,East Molesey,Surrey
375000,Flat / Apartment,961,2, Barwell Lane,Chessington
625000,House,968,3,Esher,Surrey
2250000,House,4312,5,East Molesey,Surrey
2350000,House,3861,5,Esher,Surrey
900000,House,1437,3,Esher,Surrey
395000,Flat / Apartment,734,2,,London
1000000,Penthouse,1539,2,4 Woodland Crescent,London
825000,Flat / Apartment,1517,3,,London
1600000,House,2340,5,,London
1250000,Flat / Apartment,1085,2, Clerkenwell,London
1100000,House,1112,3,Chiswick,London
1200000,House,1517,4,Chiswick,London
4000000,House,5108,5,Barnes,London
1250000,House,1952,3, Barnes,London
430000,Flat / Apartment,477,1,,London
635000,Flat / Apartment,556,2,,London
1000000,New development,960,2,,London
420000,Flat / Apartment,783,2,,London
699950,Flat / Apartment,816,2,Prince of Wales Drive,London
585000,Flat / Apartment,552,1,Prince of Wales Drive,London
800000,House,1148,3,Battersea,London
375000,House,880,3, Walton-on-Thames,Surrey
1450000,House,2131,4,Wandsworth,London
2000000,House,2518,5,Wandsworth,London
995000,Flat / Apartment,814,2,St John's Wood,London
3250000,Flat / Apartment,917,2,Piccadilly,London
4495000,House,4063,6,Richmond,Surrey
1350000,Bungalow,2912,4,Northwood,Middlesex
875000,Flat / Apartment,570,2,Marylebone,London
750000,Flat / Apartment,633,2,Marylebone,London
7500000,House,2693,4,South Kensington,London
5950000,Penthouse,3002,4,Stanford Road,London
3750000,Flat / Apartment,1925,3,,London
7600000,New development,2238,3, Kensington,London
565000,New development,739,2,3 City North Place,London
1435000,House,1341,3,Islington,London
1295000,New development,1321,2,,London
485000,Flat / Apartment,822,2,De Beauvoir,London
520000,Flat / Apartment,944,2,East Molesey,Surrey
2350000,House,2281,4,,London
1350000,House,1805,4,,London
545000,New development,691,1, Battersea,London
640000,New development,691,2, Battersea,London
545000,New development,577,1, Battersea,London
1850000,Penthouse,2120,3,Putney,London
1460000,New development,1399,3,Putney,London
2200000,House,2266,5,Barnes,London
1325000,House,1782,4,,London
3550000,Flat / Apartment,1862,3,Vauxhall,London
1195000,House,1271,3,Wimbledon,London
1995000,House,2620,5,Wimbledon,London
1585000,House,1712,4,Wimbledon,London
2695000,House,3924,6,Wimbledon,London
2990000,House,3067,6,Wimbledon,London
1875000,House,2422,5,Wandsworth,London
650000,Flat / Apartment,623,2,Shannon Place,London
559000,Flat / Apartment,513,1, Aldgate,London
3450000,Flat / Apartment,1441,2,,London
2000000,Flat / Apartment,1520,2,Belgravia,London
1650000,House,1750,4,Richmond,Surrey
425000,Flat / Apartment,592,1, Putney,London
700000,Flat / Apartment,1040,3,,London
2200000,Flat / Apartment,1163,3,Marylebone,London
1750000,House,1224,3,Marylebone,London
1450000,Flat / Apartment,765,2,,London
3500000,House,2216,4,Islington,London
925000,Flat / Apartment,1032,2,,London
1850000,Flat / Apartment,1623,4,Islington,London
2295000,Flat / Apartment,2039,3,Hampstead,London
925000,Flat / Apartment,730,1,Hampstead,London
2000000,House,3060,5,,London
1350000,House,1767,4,,London
1418000,New development,1335,3, Canary Wharf,London
1300000,House,1685,4,Chiswick,London
5350000,House,2710,4,,London
2400000,House,2425,5,Barnes,London
825000,Flat / Apartment,853,3, Fulham,London
635000,Flat / Apartment,634,2,Hammersmith,London
935000,Flat / Apartment,944,2,,London
699950,House,883,2,Wimbledon,London
765000,House,1500,4,New Malden,Surrey
1250000,House,2502,5,Walton-on-Thames,Surrey
725000,New development,784,2, Putney,London
1350000,Flat / Apartment,628,1,Notting Hill,London
1200000,House,1746,5,,London
970000,New development,810,2,,82-88 Fulham High Street
650000,New development,560,1,82-88 Fulham High Street,London
750000,Flat / Apartment,599,1,Chelsea,London
500000,New development,566,1,,London
825000,Penthouse,1226,2,158 Northchurch Road,London
975000,Flat / Apartment,1386,3,,London
350000,Studio,425,0,Ealing,London
925000,House,1270,4,Esher,Surrey
1000000,Flat / Apartment,703,2,,London
1495000,Flat / Apartment,1122,2,,London
2350000,House,2667,5,,London
675000,Flat / Apartment,924,2,,London
765000,Flat / Apartment,1025,4,Marius Road,London
799950,Flat / Apartment,1320,4,,London
2950000,Penthouse,3451,5,Limehouse,London
999950,Flat / Apartment,792,2,Finsbury,London
1200000,House,1710,4, Chiswick,London
1250000,House,1395,4,Chiswick,London
1495000,House,1889,4,Chiswick,London
1950000,House,2150,4,Barnes,London
785000,New development,590,1,101 Wood Lane,London
2250000,Flat / Apartment,1641,3, Battersea,London
6450000,Flat / Apartment,3578,2, Westminster,London
749950,Flat / Apartment,1059,2, Wimbledon,London
1675000,House,2565,4,,London
950000,House,1360,4,,London
1975000,Penthouse,2458,2,226 Arlington Road,London
3550000,House,1986,5,Chelsea,London
350000,Flat / Apartment,539,1,Balham High Road,London
2375000,New development,2540,5,,Thurleigh Road
2325000,New development,2466,5,,Thurleigh Road
4600000,New development,1961,3,Fitzrovia,London
700000,House,1174,4,Loughton,Essex
1350000,House,2312,4, Epping,Essex
1325000,New development,824,2,9 Gatliff Road,London
1850000,Flat / Apartment,981,2,,London
5250000,House,3782,8,Belsize Park,London
1000000,House,1549,4,Ealing,London
1275000,House,2344,5,Esher,Surrey
2000000,Flat / Apartment,1072,2,,London
1200000,House,1760,4,East Sheen,London
1175000,House,1668,4,,London
1300000,House,2177,4,,London
3500000,House,4213,7,,London
800000,Flat / Apartment,1035,2,,London
1200000,House,1615,4,Chiswick,London
3295000,House,3230,5, Chiswick,London
425000,Flat / Apartment,548,2,,London
1215000,New development,1091,3, Putney,London
1850000,House,1341,3,,London
2275000,House,2652,5,Barnes,London
400000,Flat / Apartment,601,2, Barnes,London
800000,Flat / Apartment,1143,3, Battersea,London
700000,Flat / Apartment,940,2,Battersea,London
750000,Duplex,1522,4,,London
500000,Flat / Apartment,561,1,Clerkenwell,London
3975000,House,1726,3,Knightsbridge,London
1999995,House,2537,5,,Twickenham
1099000,House,1554,4, Putney,London
539950,Flat / Apartment,627,2,Weimar Street,London
1050000,House,1677,4,Northwood,Middlesex
850000,Flat / Apartment,901,2,,London
599950,Flat / Apartment,699,2,,London
695000,Flat / Apartment,987,2,,London
950000,Flat / Apartment,922,3, Maida Vale,London
1999995,House,2073,4,,London
365000,Flat / Apartment,520,1,,London
1200000,Flat / Apartment,1218,3,Hampstead,London
2950000,House,4389,6,East Molesey,Surrey
380000,Flat / Apartment,550,1,42 White Horse Lane,London
1875000,House,3435,5,,London
5100000,House,4459,7,,London
490000,Flat / Apartment,771,2, Canary Wharf,London
2750000,House,2612,6,Barnes,London
450000,Flat / Apartment,460,1, St John's Wood,London
825000,House,1224,3,Putney,London
1695000,House,2205,4,Putney,London
425000,Flat / Apartment,548,1,Putney,London
1250000,Flat / Apartment,896,2,Primrose Hill,London
3750000,House,2239,4,,London
785000,New development,1263,2, Mill Hill,London
675000,Flat / Apartment,891,2,,London
465000,Flat / Apartment,518,1,Hackney,London
1350000,Flat / Apartment,1023,2,Belsize Park,London
2500000,House,2458,5,Fulham,London
675000,House,915,2,Esher,Surrey
945000,House,1112,3,East Sheen,London
725000,Flat / Apartment,861,2, Limehouse,London
325000,Flat / Apartment,469,1, Canary Wharf,London
800000,Flat / Apartment,742,2,Finsbury,London
595000,New development,476,1,Farringdon,London
425000,Flat / Apartment,740,2,Grove Park,London
1250000,House,1380,3,Barnes,London
2100000,House,1959,5,Barnes,London
875000,House,869,2,Battersea,London
1095000,House,1238,3,Battersea,London
1495000,Penthouse,1680,4,Battersea,London
895000,Flat / Apartment,1221,3, Wimbledon,London
650000,Flat / Apartment,1087,3,,London
3500000,Flat / Apartment,1548,3,Belgravia,London
4750000,Flat / Apartment,1559,2, Knightsbridge,London
550000,Flat / Apartment,690,2,Macaulay Road,London
525000,Flat / Apartment,1299,3, Buckhurst Hill,Essex
4035000,New development,2174,4, Chelsea,London
1150000,Flat / Apartment,933,2,50 Kensington Place,London
2350000,House,1327,2,,London
2100000,Flat / Apartment,2810,3, Esher,Surrey
1000000,House,2590,4,Esher,Surrey
780000,Penthouse,1010,2,,London
1595000,House,3260,6,,London
1000000,House,2456,3,,London
850000,House,953,2,,London
625000,Flat / Apartment,967,1,,London
1300000,House,1457,4,Battersea,London
2950000,House,2349,5,Westminster,London
995000,House,1184,3,Wimbledon,London
1150000,House,1705,3,,London
700000,Flat / Apartment,814,2, Battersea,London
575000,Flat / Apartment,619,2,,London
1675000,House,1749,4,South Hackney,London
4500000,Flat / Apartment,1607,2,,London
820000,Flat / Apartment,992,1,,London
2950000,House,2400,3,Richmond,Surrey
635000,Flat / Apartment,774,2,Putney,London
1995000,House,3256,5,Putney,London
1895000,House,1868,3,Islington,London
1495000,House,2566,5,Surbiton,Surrey
2250000,House,3364,5,East Molesey,Surrey
1250000,House,2032,6,Richmond,Surrey
825000,Flat / Apartment,1026,3, Canary Wharf,London
875000,Flat / Apartment,767,2,Clerkenwell,London
2175000,House,2108,5,Barnes,London
2250000,House,2332,5,Barnes,London
975000,Flat / Apartment,1100,2,Battersea,London
1735000,House,2144,4,Battersea,London
1375000,House,1335,3, Wimbledon,London
1295000,House,1811,4,,London
875000,Flat / Apartment,693,2,Grove End Road,London
1950000,House,1873,5, South Hampstead,London
995000,Flat / Apartment,1243,2, Twickenham,Middlesex
3450000,House,3825,5, Richmond,Surrey
1295000,Flat / Apartment,1366,2,,London
2500000,House,4222,6,Stanmore,Middlesex
2150000,Flat / Apartment,1672,3, Marylebone,London
800000,Flat / Apartment,548,2, Marylebone,London
1750000,Flat / Apartment,883,2, Fitzrovia,London
1250000,House,1901,4,Woodford Green,Essex
1178000,New development,847,2, Battersea,London
1285000,New development,652,1,,City Of London
7950000,House,3443,5,,London
2150000,Flat / Apartment,1806,4,,London
1895000,House,2132,5,Highbury,London
1200000,Flat / Apartment,1355,2,29 Laycock Street,London
725000,House,804,1,Hackney,London
1100000,House,1069,2,Hampstead,London
1000000,New development,2258,4,,London
600000,New development,870,1, Ealing,London
695000,Flat / Apartment,537,1,,London
1450000,House,1921,4,,London
699950,Flat / Apartment,902,2,,London
1295000,House,1674,4,Balham,London
2600000,Flat / Apartment,1500,3,,London
600000,House,570,2,Wimbledon,London
895000,House,900,3,Wimbledon,London
1160000,Penthouse,1112,2,Wimbledon,London
500000,Flat / Apartment,622,2,,London
625000,Flat / Apartment,797,2,,London
450000,Flat / Apartment,377,1,Abbey Road,London
2750000,House,2999,7,Twickenham,Middlesex
899950,Flat / Apartment,1115,3,,London
1250000,Flat / Apartment,649,1,,London
1650000,Flat / Apartment,1055,2,,London
3450000,Penthouse,1575,2,Notting Hill,London
2975000,Flat / Apartment,1657,3,,London
2500000,House,1266,3,Marylebone,London
2150000,Flat / Apartment,1064,2,Sloane Square,London
1995000,Flat / Apartment,1053,2,Knightsbridge,London
1700000,Flat / Apartment,1045,2,,London
2600000,Flat / Apartment,1722,3,Thurloe Place,London
1675000,Flat / Apartment,905,2,,London
1495000,Flat / Apartment,776,1,,London
2895000,Flat / Apartment,1398,2,,London
1450000,Flat / Apartment,675,1,,London
795000,Flat / Apartment,691,1,20 Gatliff Road,London
1895000,Flat / Apartment,1522,2,,London
1850000,Flat / Apartment,1480,3,4-10 Lexham Gardens,London
3500000,Flat / Apartment,1804,4,Duchess Of Bedford's Walk,London
450000,Studio,410,0,Vicarage Gate,London
2895000,Flat / Apartment,1850,3,33 Kensington Court,London
1250000,Flat / Apartment,1317,3,29 Sheffield Terrace,London
4250000,Flat / Apartment,2713,6,Kensington High Street,London
1300000,Flat / Apartment,1162,2,,London
1175000,Flat / Apartment,793,2,Thackeray Street,London
4450000,Penthouse,1894,3,,London
1550000,Flat / Apartment,923,2,Vicarage Gate,London
1300000,Flat / Apartment,914,2,,London
1550000,House,2602,4,Esher,Surrey
1325000,House,2410,5,Thames Ditton,Surrey
1450000,House,1899,4,East Sheen,London
1175000,House,1503,4,,London
795000,New development,823,2,,London
4750000,House,3104,6,Chelsea,London
799950,Flat / Apartment,890,2,721 Fulham Road,London
650000,Flat / Apartment,743,2,,London
850000,House,1167,3,Battersea,London
560000,Flat / Apartment,779,1, Battersea,London
910000,House,960,3,Battersea,London
399950,Flat / Apartment,621,1, Wimbledon,London
465000,Flat / Apartment,592,1,Wimbledon,London
1535000,House,2352,5,,London
725000,House,1344,5,Richmond,Surrey
1295000,Flat / Apartment,1702,4, Putney,London
825000,Flat / Apartment,947,2,Putney,London
1195000,Flat / Apartment,879,2,Primrose Hill,London
1250000,Flat / Apartment,1061,2,Regent's Park,London
1350000,Flat / Apartment,1225,2,,London
1225000,House,2289,5,Northwood,Middlesex
585000,Flat / Apartment,1032,2, Northwood,Middlesex
550000,New development,542,1,,London
985000,Flat / Apartment,677,2, Bloomsbury,London
530000,Flat / Apartment,482,1,Highbury,London
4200000,House,2968,3,Islington,London
1375000,House,1340,3,Islington,London
575000,Flat / Apartment,707,2,Hackney,London
2950000,House,2740,4,Highgate,London
1950000,House,1795,3, Parsons Green,Fulham
3250000,House,3156,5,Fulham,London
1250000,House,1980,4,Esher,Surrey
975000,Penthouse,1634,3, Esher,Surrey
1100000,House,1716,4,Surbiton,Surrey
900000,House,1989,3,,London
300000,Flat / Apartment,517,1,Newham,London
510000,New development,577,1, Battersea,London
350000,Flat / Apartment,302,1,Fulham,London
875000,Flat / Apartment,981,2,Brook Green,London
1095000,House,2642,3,Kingston,London
3350000,House,3256,5,Wimbledon,London
1350000,House,1723,4,,London
950000,Flat / Apartment,817,2,,London
1275000,House,2711,5,Oxhey,Hertfordshire
975000,Flat / Apartment,1013,2,,London
3950000,House,2530,6,Chelsea,London
475000,Flat / Apartment,650,2,1 Tiltman Place,London
575000,New development,840,2, London,N7 6QX
599950,New development,930,3,Homerton,London
585000,Flat / Apartment,881,2,Hackney,London
1750000,House,2223,4,Childs Hill,London
2950000,House,4034,6,Brentford,Middlesex
950000,House,1258,4,Acton,London
910000,Flat / Apartment,683,1, South Bank,London
1849950,House,2372,5,Streatham,London
700000,Flat / Apartment,758,2,New Kings Road,London
1275000,House,1419,3,,London
425000,Flat / Apartment,549,1,Wimbledon,London
1395000,House,3178,4,Walton-On-Thames,Surrey
3000000,House,2432,4,St John's Wood,London
2975000,House,3352,6,Richmond,Surrey
775000,Flat / Apartment,990,2,Putney,London
4950000,House,4482,7,Clapham,London
1850000,House,2088,4,,London
649000,New development,560,1,82-88 Fulham High Street,London
499950,Flat / Apartment,386,1,Islington,London
399950,Flat / Apartment,806,3, Finsbury Park,London
500000,Flat / Apartment,527,1,,London
1085000,House,1705,3,Hackney,London
1595000,House,1679,4,Fulham,London
850000,House,1336,3,Esher,Surrey
1500000,House,2084,5,,London
2800000,House,4050,6,,London
1799995,New development,1236,2,Water Lane,London
2700000,House,2685,5,Stamford Brook,London
1150000,House,1301,4,Chiswick,London
2475000,House,2406,5,Barnes,London
799950,House,766,2,Battersea,London
2950000,Flat / Apartment,1181,2,Belgravia,London
2500000,House,4420,6,Richmond,Surrey
950000,House,1397,3,Richmond,Surrey
595000,Flat / Apartment,683,1,,London
1495000,House,1892,5,,London
625000,Flat / Apartment,693,2, Maida Vale,London
935000,Flat / Apartment,829,2,33 Maida Vale,Little Venice
599995,Flat / Apartment,710,2,,London
1650000,House,2048,4,Hackney,London
525000,New development,666,1,Ealing,London
800000,Flat / Apartment,992,2,,London
995000,House,1716,5,,London
1750000,House,3184,4,Ashtead,Surrey
775000,House,634,2,,London
1595000,House,2287,5,,London
1500000,Flat / Apartment,1438,3, Juniper Drive,London
3750000,Flat / Apartment,1550,2,Belgravia,London
3250000,House,2989,4,Richmond,Surrey
895000,Flat / Apartment,1039,2, Putney,London
799999,Flat / Apartment,1076,3,,London
650000,Duplex,890,2, Battersea,London
1395000,House,1918,3,,London
550000,New development,547,1, 35 Salusbury Road,London
500000,Flat / Apartment,1008,3, Woodford Green,Essex
1550000,House,1378,3,De Beauvoir,London
4950000,New development,3330,3,55 Primrose Hill Road,London
2850000,Flat / Apartment,1752,2,55 Primrose Hill Road,London
2250000,Flat / Apartment,2557,3, Fulham,London
595000,New development,807,2,North Ealing,London
3300000,House,6309,5,Esher,Surrey
1225000,House,1758,4,,London
1350000,Flat / Apartment,2264,2, Canary Wharf,London
545000,New development,773,2,Bow,London
1195000,House,1668,4,Acton,London
822500,New development,869,2, Putney,London
1345000,Flat / Apartment,1030,3,1 Albert Embankment,London
1400000,Flat / Apartment,1145,2, Vauxhall,London
1750000,Flat / Apartment,1232,2,93 Albert Embankment,London
2895000,House,3660,6,Kingston upon Thames,Surrey
2350000,House,1844,4,Regent's Park,London
1075000,Flat / Apartment,1142,3,Elm Tree Road,London
1350000,House,1637,4,,London
2250000,Flat / Apartment,1348,2,Mayfair,London
699950,Flat / Apartment,787,2,Highbury Stadium Square,London
1425000,House,1761,3,Highbury,London
435000,Flat / Apartment,527,1,Islington,London
2950000,House,3300,5,,London
645000,New development,904,2, Ealing,London
995000,New development,1681,3, East Molesey,Surrey
5500000,House,5453,6,Richmond,Surrey
2500000,House,2413,5,,London
1200000,House,1585,4,,London
1750000,House,1891,5,Barnes,London
725000,Flat / Apartment,924,3,Fulham,London
850000,House,780,2,Battersea,London
2249000,House,2600,5,Wimbledon,London
475000,Flat / Apartment,598,1,,London
525000,New development,558,1,3 Ryeland Boulevard,London
370000,Flat / Apartment,400,1,South Hackney,London
2500000,Flat / Apartment,2132,2,Spitalfields,London
700000,Bungalow,1301,3,Northwood,Middlesex
1595000,House,2046,4,,London
715000,Flat / Apartment,764,2, Maida Vale,London
985000,Flat / Apartment,978,2, Maida Vale,London
4850000,Penthouse,1518,3,Fitzrovia,London
1695000,House,3683,5,Loughton,Essex
1095000,House,1728,4,Loughton,Essex
1325000,House,2659,5,Woodford Green,Essex
699950,House,1255,1,Islington,London
350000,Flat / Apartment,420,1, Acton,London
2000000,House,3556,6,Esher,Surrey
1095000,House,2442,5,Thames Ditton,Surrey
3250000,House,3467,6,East Sheen,London
899950,Flat / Apartment,939,2,,London
2166000,New development,1236,2,Water Lane,London
480000,New development,577,1, Battersea,London
825000,Flat / Apartment,869,2,Brook Green,London
2950000,New development,2768,4,Battersea,London
585000,Flat / Apartment,784,2,Wimbledon,London
2975000,House,2041,3,Chelsea,London
680000,House,1125,3,Richmond,Surrey
899000,New development,982,2,Clapham Common North Side,London
675000,House,1153,4,Loughton,Essex
475000,House,890,2,Waltham Abbey,Essex
1265000,House,2568,5, Epping,Essex
3500000,House,11077,6,Oxshott,Surrey
3500000,House,2401,4,,London
599995,Flat / Apartment,528,1,,London
550000,Flat / Apartment,736,2,Hackney,London
1325000,House,1595,4,,London
2400000,House,2850,6,,London
2500000,House,3525,6,,London
1150000,Flat / Apartment,1302,2, Limehouse,London
550000,New development,1023,2,Royal Albert Wharf,London
690000,Flat / Apartment,753,2, Clerkenwell,London
1175000,Flat / Apartment,949,2,Clerkenwell,London
2000000,House,2222,5,Chiswick,London
1045000,New development,810,2, Fulham High Street,Fulham
699950,Flat / Apartment,848,2, Battersea,London
900000,House,1223,3,Battersea,London
875000,House,1061,3,Battersea,London
1695000,House,1938,4,South Hackney,London
845000,Flat / Apartment,960,2, St. John's Wood,London
850000,House,1213,4, Hackney,London
2000000,Flat / Apartment,2401,3,,Spitalfields
3250000,Flat / Apartment,1509,1,Belgravia,London
1750000,Flat / Apartment,1239,3,Primrose Hill,London
1250000,House,1880,4,Moor Park,Middlesex
550000,New development,562,1, Queens Park,London
1050000,Flat / Apartment,1309,3,Marylebone,London
1095000,Flat / Apartment,945,1, Marylebone,London
1195000,House,2737,4,Waltham Abbey,Essex
1100000,Flat / Apartment,985,3,Hampstead,London
3000000,Flat / Apartment,2427,4,Hampstead,London
2150000,House,2416,5,Fulham,London
1800000,House,2129,5,East Sheen,London
1295000,House,1248,3,,London
1125000,House,2137,5,,London
1025000,House,1556,4,,London
1675000,House,2346,5,,London
2750000,House,3251,7,Ravenscourt Park,London
500000,Flat / Apartment,670,1,,London
2520000,House,2638,5,Brook Green,London
865000,Flat / Apartment,1023,2,,London
700000,Flat / Apartment,875,2,Battersea,London
1350000,House,1295,3,Battersea,London
3450000,Flat / Apartment,1215,2, Westminster,London
775000,Flat / Apartment,1066,3,,London
1195000,House,1697,4,,London
725000,Penthouse,1200,3,Hackney,London
700000,Flat / Apartment,606,2,Clerkenwell,London
695000,Flat / Apartment,796,2,Clerkenwell,London
1299000,Flat / Apartment,827,2,City Of London,London
5950000,Flat / Apartment,2817,3,Knightsbridge,London
595000,Flat / Apartment,786,2,Richmond,Surrey
2100000,House,2296,4,Richmond,Surrey
1475000,House,1894,4,Putney,London
2950000,House,3336,7,Putney,London
450000,Flat / Apartment,570,2,,London
550000,Flat / Apartment,672,2,,London
2250000,Flat / Apartment,1297,2,St James's,London
2750000,House,4925,6,Loughton,Essex
599950,Flat / Apartment,734,1, Islington,London
650000,Flat / Apartment,667,1,,London
850000,House,900,2,Fulham,London
825000,Flat / Apartment,1027,3,Fulham,London
1850000,House,1678,5,Fulham,London
1750000,Flat / Apartment,1390,3,11 Park Street,London
3150000,House,3100,5,Fulham,London
599950,Flat / Apartment,1128,3,Acton,London
1995000,House,3605,6, Surbiton,Surrey
1595000,House,3304,6,Esher,Surrey
1195000,Flat / Apartment,752,2,,London
2650000,House,2229,4,Richmond,Surrey
950000,Flat / Apartment,973,2,94 Wapping High Street,London
1050000,New development,817,2,82-88 Fulham High Street,London
695000,New development,678,2,82-88 Bishops Gate,Fulham High Street
3895000,New development,4453,6,35A Arterberry Road,London
425000,Flat / Apartment,502,1, St. John's Wood,London
1300000,House,2484,4,Richmond,Surrey
439000,Flat / Apartment,670,2,Putney,London
4500000,House,2742,6,Notting Hill,London
599950,Flat / Apartment,689,1,,London
1500000,House,1327,4,Highbury,London
625000,Flat / Apartment,513,1,Islington,London
499999,Flat / Apartment,700,1,De Beauvoir,London
435000,Flat / Apartment,565,1,,London
850000,Flat / Apartment,743,2,,London
2695000,House,3125,4,,London
2250000,House,2389,5,Chiswick,London
1700000,House,2033,5,,London
3450000,House,2160,4,,London
3250000,House,3098,5,Barnes,London
650000,Flat / Apartment,650,2,,London
1395000,Flat / Apartment,981,2,101 Wood Lane,London
475000,Flat / Apartment,705,2,Wandsworth Common West Side,London
1250000,House,1810,3,Putney,London
1150000,House,1468,3,Putney,London
625000,House,1213,4, Watford,Hertfordshire
575000,Flat / Apartment,1092,2, Northwood,Middlesex
695000,Flat / Apartment,815,2,,London
2100000,House,2325,5,,London
750000,Flat / Apartment,838,2,,London
1399000,House,1456,3,Battersea,London
4750000,Penthouse,1774,3,Fitzrovia,London
2275000,House,1969,4,Islington,London
599950,Flat / Apartment,657,2,Islington,London
1995000,House,2707,5,East Sheen,London
899000,House,1109,3,,London
1575000,House,2050,5,,London
850000,Flat / Apartment,655,1,Star Place,London
1250000,House,1683,4,,London
3750000,House,3391,5,Ravenscourt Park,London
995000,House,1423,5,Chiswick,London
850000,House,1163,3,Chiswick,London
2400000,Flat / Apartment,1898,4,Drayton Gardens,London
599950,Flat / Apartment,830,3,Battersea,London
875000,House,1334,5,,London
675000,Flat / Apartment,602,2, St. Johns Wood,London
735000,Flat / Apartment,953,2,Camden,London
925000,Flat / Apartment,1082,2,,London
1300000,House,2547,5,Brondesbury,London
7500000,House,12526,7,Oxshott,Surrey
7450000,House,3997,6,South Kensington,London
8250000,House,3188,5,Belgravia,London
2395000,House,2212,4,Islington,London
500000,Flat / Apartment,675,1,Islington,London
2550000,House,2241,5,Canonbury,London
600000,New development,721,2, Clapton,London
590000,Flat / Apartment,702,2,Lee Street,London
550000,House,674,2,Tottenham Road,London
1650000,House,1716,5, Fulham,London
1250000,House,1700,4,Ealing,London
475000,Flat / Apartment,645,2,Surbiton,Surrey
425000,New development,603,1, East Molesey,Surrey
599000,Flat / Apartment,830,2,Ensign Street,London
1325000,House,1800,4,,London
1350000,Flat / Apartment,1862,3,Wimbledon,London
1225000,House,1681,4,Wimbledon,London
650000,Flat / Apartment,779,2,Wimbledon,London
6950000,House,3911,6,St. John's Wood,London
4495000,House,2607,4,St. John's Wood,London
599950,Flat / Apartment,969,3, Putney,London
465000,Flat / Apartment,461,1, Putney,London
749950,Flat / Apartment,650,2,,London
1050000,Flat / Apartment,1155,2,,London
650000,Flat / Apartment,684,2,,London
775000,Flat / Apartment,928,2,,London
2100000,New development,2132,4,,Thurleigh Road
1075000,House,2096,4,Loughton,Essex
625000,Flat / Apartment,676,1,,London
1800000,Flat / Apartment,1405,3, Hampstead,London
775000,Flat / Apartment,1368,3,,London
2050000,New development,2875,4,Chiswick,London
775000,Flat / Apartment,936,2,Barnes,London
885000,Flat / Apartment,1258,2,,London
2400000,House,2803,6,Battersea,London
825000,House,1388,3,Wimbledon,London
2250000,House,2946,4,Kingston upon Thames,Surrey
1125000,House,1566,5,,London
1000000,House,1306,4,Wandsworth,London
350000,Flat / Apartment,670,2, Lisson Grove,London
600000,House,1041,2,Northwood,Middlesex
3600000,House,1831,5,Notting Hill,London
2050000,House,2202,3,,London
765000,Duplex,992,2,St John's Hill,London
1675000,Flat / Apartment,1101,2,Little Venice,London
1375000,Flat / Apartment,1002,2,Marylebone,London
1350000,Mews,993,2,Marylebone,London
8850000,House,3813,5,,London
3850000,House,2285,4,,London
2500000,House,2537,6,Islington,London
575000,New development,840,2, London,N7 6QX
4650000,House,4653,7,Highgate,London
4950000,House,7043,6,Esher,Surrey
555000,New development,753,2, East Molesey,Surrey
3750000,Flat / Apartment,1902,4,,London
1050000,House,1338,3,,London
1775000,House,2200,4,,London
550000,New development,773,2,Bow,London
2700000,House,2953,7,Chiswick,London
399950,Flat / Apartment,580,2,Gunnersbury,London
595000,New development,545,1,Carlton Drive,London
3200000,House,2988,4,,London
675000,Flat / Apartment,778,2, Elephant Park,London
765000,New development,864,2,Wimbledon,London
800000,Flat / Apartment,1428,4,,London
835000,Flat / Apartment,651,1,St. John's Wood,London
1200000,House,1662,4,Richmond,Surrey
2395000,Flat / Apartment,1160,2, Fitzrovia,London
3250000,House,1738,3,Marylebone,London
2990000,New development,1451,3, Chelsea,London
499950,Flat / Apartment,388,1,,London
1800000,House,4225,5,Mortlake,London
2300000,House,2800,6,East Sheen,London
573000,New development,429,0,199 To 207 Marsh Wall,London
835000,Flat / Apartment,704,2,Clerkenwell,London
2200000,House,2354,5, Chiswick,London
700000,Flat / Apartment,680,1,,London
2775000,Flat / Apartment,1711,3,St. James's,London
750000,Flat / Apartment,1076,3,Wimbledon,London
1195000,House,1538,3,,London
1425000,House,2173,5,Wandsworth,London
380000,Flat / Apartment,420,1,South Hackney,London
899950,House,2915,5, Coulsdon,Surrey
2000000,House,2149,5,Putney,London
2995000,House,5517,7,Northwood,Middlesex
1490000,House,1875,5,Bellevue Village,London
1750000,House,2364,5,,London
2000000,New development,2347,4,,Thurleigh Road
710000,New development,818,2, Crouch End,London
915000,New development,810,2,82-88 Fulham High Street,London
2000000,House,2078,4,Barnsbury,London
425000,Flat / Apartment,495,1,Canonbury,London
499950,Flat / Apartment,656,2,Lower Holloway,London
1050000,Flat / Apartment,1186,3,Keats Grove,London
